u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
ueurccysmb,xodqugrselcbzqs,11,1,1060,1294,2,1,0,21,Male,Town,UG,Science,11001,11101111,ueurccysmb
ueurccysmb,uzeylmvdkndqjcf,30,2,1421,1187,3,0,1,21,Male,Town,UG,Science,11001,11101111,ueurccysmb
ufldwtcwrf,bpzndcxquaqtpzw,21,1,29000,51662,1,1,0,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
ufldwtcwrf,lsffxzybkzdcdnm,40,2,5399,32222,2,0,1,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
ufldwtcwrf,dlsdxclfbzzpggv,51,3,8875,31024,3,1,0,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
vjcggnyvlz,eophkhsdenjopgd,20,3,11405,2950,1,0,1,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
vjcggnyvlz,fpbcffwcnvqscvs,51,4,4606,2666,2,1,0,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
vjcggnyvlz,kamrdalsnfadhhn,30,5,3743,2096,3,0,1,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
wazzkyivit,jcjkayzgmespsok,20,3,17685,22628,1,0,1,21,Male,City,UG,Science,10,10000011,wazzkyivit
wazzkyivit,pwhnwedtjmigksn,10,5,7401,32301,2,0,1,21,Male,City,UG,Science,10,10000011,wazzkyivit
wazzkyivit,jetdairiraxeqeb,31,1,1028,1563,3,1,0,21,Male,City,UG,Science,10,10000011,wazzkyivit
wcycjnjwqd,fopkxxailkdvotg,10,1,12753,40976,1,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
wcycjnjwqd,etehcelkqtieclb,30,2,4121,11350,2,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
wcycjnjwqd,frighffopntzvqc,40,0,2671,4268,3,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
wkxyikxqcr,aprtrgfnuiipggb,10,1,44495,138049,1,0,1,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
wkxyikxqcr,laejhzpnesxgrup,50,0,8517,34840,2,0,1,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
wkxyikxqcr,nbkpxfsmtbkvucp,31,3,2161,12117,3,1,0,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
xsoobrcbgf,cwstzrnpmrtnzlh,10,5,11659,3450,1,0,1,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
xsoobrcbgf,gtzzzwhyztkkqut,41,4,3684,2289,2,1,0,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
xsoobrcbgf,iaqewvekgzahxhb,20,1,1674,1867,3,0,1,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
ydscsrcrdb,xriuvauvwkpzgur,30,4,23041,11062,1,0,1,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
ydscsrcrdb,kwvordeaohjscgf,20,0,10175,6141,2,0,1,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
ydscsrcrdb,zssstwqcsholhcx,11,5,7928,1570,3,1,0,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
yvliqtdhub,yzhfvqhalxonsha,30,5,12866,33434,1,0,1,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
